priority,category,channel,complexity_score,response_time_hours,resolution_time_hours,previous_tickets,customer_tenure_months,customer_age,sla_breach,escalated
Medium,Data Loss,Email,5,34.36,90.38,3,11,40,1,0
High,Subscription Cancellation,Chat,5,7.29,44.17,6,7,37,1,0
Low,Performance Issue,Portal,3,60.18,236.3,1,41,53,1,0
Low,Performance Issue,Phone,3,56.43,262.65,1,7,60,1,0
Low,Payment Problem,Phone,2,57.07,251.91,2,53,36,1,0
Urgent,Payment Problem,Chat,7,0.61,4.44,2,63,26,0,0
High,Account Suspension,Portal,4,7.93,55.61,3,60,61,1,0
High,Security Breach,Chat,5,11.45,26.88,3,41,57,1,0
High,Subscription Cancellation,Email,4,2.84,11.15,5,33,59,0,0
High,Integration Failure,Phone,4,2.64,15.3,4,8,64,0,0
Medium,Account Suspension,Email,5,6.16,41.21,2,1,50,0,0
High,Billing Dispute,Email,5,1.48,13.42,1,61,21,0,0
Low,Feature Request,Email,3,26.48,262.37,0,32,33,1,0
High,Integration Failure,Chat,6,3.74,11.34,5,3,33,0,0
High,Billing Dispute,Chat,8,3.07,22.32,2,69,21,0,0
Medium,Account Suspension,Email,4,11.35,14.88,1,44,65,0,0
Medium,Login Issue,Phone,6,9.33,19.92,4,14,38,0,0
Medium,Account Suspension,Phone,6,2.81,15.08,5,50,57,0,0
High,Account Suspension,Portal,4,7.78,26.98,1,24,48,1,0
High,Account Suspension,Chat,4,5.29,56.83,1,53,68,1,0
Urgent,Payment Problem,Phone,9,0.8,3.83,1,24,42,0,0
Medium,Subscription Cancellation,Phone,2,4.07,21.71,3,9,34,0,0
High,Account Suspension,Email,8,2.77,11.37,1,44,27,0,0
High,Payment Problem,Email,5,2.78,19.72,1,40,53,0,0
Urgent,Billing Dispute,Chat,7,0.68,4.02,1,15,52,0,0
Medium,Security Breach,Email,4,33.23,92.66,1,30,24,1,0
Medium,Subscription Cancellation,Email,2,29.75,110.48,1,42,32,1,0
High,Billing Dispute,Chat,8,1.78,12.17,2,13,28,0,0
High,Performance Issue,Email,7,1.74,9.47,0,60,51,0,0
Urgent,Integration Failure,Email,7,0.22,2.75,3,21,27,0,0
Low,Feature Request,Chat,2,67.82,226.64,5,1,21,1,0
Low,Performance Issue,Phone,4,31.12,233.78,1,58,25,1,0
Urgent,Data Loss,Phone,7,0.56,6.93,2,16,34,0,0
Medium,Security Breach,Chat,5,6.98,29.17,3,29,66,0,0
High,Data Loss,Chat,4,2.14,20.73,6,35,46,0,0
Medium,Login Issue,Chat,2,26.29,87.37,4,57,48,1,0
Low,Login Issue,Email,2,17.93,82.04,6,27,50,0,0
High,Account Suspension,Email,6,5.89,44.46,6,60,43,1,0
High,Security Breach,Phone,5,1.02,11.89,2,58,68,0,0
Medium,Billing Dispute,Chat,4,10.12,40.72,4,7,23,0,0
Medium,Performance Issue,Phone,4,6.85,41.99,1,48,65,0,0
Urgent,Security Breach,Phone,9,1.34,18.3,2,40,38,1,1
Low,Performance Issue,Email,4,57.05,150.03,3,10,26,1,0
Urgent,Feature Request,Chat,8,0.37,5.87,3,22,34,0,0
Medium,Billing Dispute,Chat,2,3.14,28.26,1,33,57,0,0
High,Data Loss,Chat,7,6.55,29.68,2,63,25,1,1
Urgent,Performance Issue,Chat,7,0.42,2.72,3,21,20,0,0
High,Feature Request,Portal,6,11.0,49.85,1,38,25,1,0
Medium,Security Breach,Phone,5,5.17,26.81,3,49,42,0,0
High,Feature Request,Portal,5,10.33,39.24,2,32,43,1,0
Medium,Integration Failure,Email,5,26.36,67.12,1,70,50,1,0
Medium,Feature Request,Email,5,15.36,93.26,4,33,19,1,0
Urgent,Feature Request,Email,8,0.32,3.17,3,30,51,0,0
High,Account Suspension,Email,5,5.01,26.54,2,27,52,1,0
High,Login Issue,Chat,6,2.0,7.42,1,26,24,0,0
Medium,Data Loss,Chat,6,11.13,25.88,1,56,43,0,0
Low,Integration Failure,Chat,2,34.64,252.76,1,63,38,1,0
Low,Integration Failure,Portal,2,42.0,233.23,5,59,52,1,0
High,Login Issue,Portal,5,10.63,34.82,2,28,54,1,0
High,Subscription Cancellation,Email,8,3.43,8.79,2,4,65,0,0
Medium,Performance Issue,Portal,5,29.97,77.12,0,21,28,1,0
Urgent,Feature Request,Chat,6,0.55,7.06,3,12,24,0,0
Low,Security Breach,Chat,1,55.99,190.28,4,1,53,1,0
Medium,Feature Request,Phone,6,23.46,60.86,4,53,31,1,0
Low,Security Breach,Email,4,65.1,281.71,2,56,20,1,0
Medium,Feature Request,Portal,6,6.09,24.51,1,12,48,0,0
Low,Integration Failure,Phone,3,19.52,96.21,3,70,30,0,0
Urgent,Subscription Cancellation,Portal,10,2.21,11.86,3,54,27,1,1
Low,Login Issue,Portal,1,50.17,278.01,4,28,67,1,0
Urgent,Billing Dispute,Chat,9,2.35,9.72,3,56,51,1,1
Medium,Payment Problem,Email,6,19.86,69.81,4,42,68,1,0
Urgent,Data Loss,Email,8,0.49,6.18,3,61,41,0,0
High,Billing Dispute,Email,7,3.22,13.35,1,24,53,0,0
Urgent,Data Loss,Email,9,0.49,5.26,2,26,53,0,0
Low,Performance Issue,Phone,3,56.2,178.54,7,47,31,1,0
High,Login Issue,Email,6,9.44,38.54,2,22,56,1,0
Urgent,Security Breach,Portal,9,2.75,15.59,3,48,44,1,1
Low,Billing Dispute,Phone,1,12.79,97.81,2,40,50,0,0
Low,Billing Dispute,Email,2,67.56,281.85,3,12,55,1,0
Medium,Data Loss,Chat,2,11.34,25.6,1,64,20,0,0
Urgent,Billing Dispute,Chat,9,0.33,5.68,4,9,44,0,0
Medium,Security Breach,Chat,2,8.84,29.94,3,37,53,0,0
Medium,Login Issue,Chat,6,8.69,34.88,2,18,49,0,0
Low,Performance Issue,Email,1,47.2,236.47,6,40,45,1,0
Low,Payment Problem,Phone,2,40.25,236.2,3,35,32,1,0
Urgent,Login Issue,Chat,7,0.22,4.67,5,20,46,0,0
Low,Account Suspension,Phone,4,16.25,58.9,2,61,34,0,0
High,Performance Issue,Phone,5,1.75,13.77,5,12,27,0,0
Urgent,Billing Dispute,Email,6,0.61,6.75,3,61,61,0,0
Low,Security Breach,Email,2,31.97,189.6,1,59,34,1,0
High,Subscription Cancellation,Phone,5,0.93,20.64,3,44,42,0,0
Low,Billing Dispute,Portal,3,62.99,159.93,3,37,57,1,0
High,Integration Failure,Chat,5,5.33,45.01,2,39,62,1,0
Low,Integration Failure,Email,4,32.66,150.33,2,55,64,1,0
High,Subscription Cancellation,Email,4,8.74,41.27,1,30,27,1,0
Medium,Payment Problem,Email,5,29.87,118.02,2,67,66,1,0
Medium,Integration Failure,Email,3,13.38,94.89,4,53,33,1,0
High,Payment Problem,Chat,4,7.76,27.0,3,42,22,1,0
Low,Performance Issue,Phone,2,16.16,100.16,2,28,57,0,0
High,Subscription Cancellation,Email,6,10.01,43.22,7,55,47,1,0
Medium,Payment Problem,Email,4,34.81,97.93,1,65,49,1,0
High,Account Suspension,Chat,5,0.85,17.22,2,15,35,0,0
Low,Payment Problem,Portal,3,67.38,163.67,7,12,29,1,0
High,Feature Request,Chat,7,3.7,13.53,1,61,44,0,0
Low,Performance Issue,Portal,4,65.88,168.1,3,19,62,1,0
Medium,Account Suspension,Chat,5,34.83,64.8,3,45,45,1,0
Low,Subscription Cancellation,Email,1,6.93,79.45,0,38,37,0,0
High,Data Loss,Email,7,11.94,33.24,2,67,49,1,1
Medium,Billing Dispute,Phone,5,9.29,20.68,0,67,61,0,0
Urgent,Security Breach,Chat,8,1.23,15.82,1,45,40,1,1
Urgent,Integration Failure,Chat,6,2.39,13.3,3,12,20,1,1
Low,Feature Request,Phone,4,58.46,166.05,1,50,20,1,0
High,Feature Request,Phone,7,9.18,39.29,3,14,36,1,1
Low,Data Loss,Email,2,66.29,229.34,3,23,59,1,0
Medium,Billing Dispute,Phone,3,9.14,33.08,6,34,56,0,0
High,Billing Dispute,Chat,7,5.63,56.57,3,43,34,1,1
High,Integration Failure,Chat,5,1.55,21.71,6,35,49,0,0
High,Payment Problem,Chat,7,7.92,33.22,0,53,48,1,1
Medium,Subscription Cancellation,Chat,2,22.2,85.75,3,14,63,1,0
Medium,Billing Dispute,Email,5,8.37,28.3,4,67,26,0,0
Low,Billing Dispute,Chat,3,32.62,260.9,2,66,52,1,0
High,Security Breach,Email,5,1.86,10.21,2,55,34,0,0
Medium,Account Suspension,Chat,6,18.74,67.99,3,42,33,1,0
High,Account Suspension,Email,5,6.63,31.72,2,26,57,1,0
Low,Security Breach,Email,4,17.6,93.12,2,27,33,0,0
Medium,Login Issue,Email,5,3.12,21.5,5,38,39,0,0
Medium,Subscription Cancellation,Chat,3,33.43,81.0,5,19,46,1,0
Low,Billing Dispute,Portal,4,55.63,175.63,2,58,28,1,0
Medium,Integration Failure,Email,4,22.59,118.81,2,6,27,1,0
Urgent,Subscription Cancellation,Chat,10,0.56,5.77,0,44,66,0,0
Urgent,Data Loss,Email,6,0.72,3.89,3,1,52,0,0
Medium,Feature Request,Phone,4,29.86,60.6,4,30,22,1,0
Medium,Billing Dispute,Email,3,9.64,28.09,5,51,61,0,0
Low,Login Issue,Email,4,9.55,50.13,2,63,33,0,0
Urgent,Integration Failure,Email,9,0.84,3.27,3,29,30,0,0
Low,Subscription Cancellation,Portal,1,64.28,181.57,1,16,24,1,0
Urgent,Performance Issue,Chat,10,0.84,7.43,3,46,42,0,0
Medium,Feature Request,Email,6,3.13,26.87,6,24,51,0,0
Medium,Billing Dispute,Email,4,3.69,20.96,5,43,68,0,0
Urgent,Subscription Cancellation,Email,10,0.67,4.11,6,36,41,0,0
Low,Subscription Cancellation,Email,3,69.86,212.26,1,15,68,1,0
High,Integration Failure,Phone,8,1.13,8.32,0,46,69,0,0
Medium,Feature Request,Chat,3,30.05,73.3,3,38,67,1,0
Low,Account Suspension,Chat,3,32.61,156.06,0,21,20,1,0
Medium,Account Suspension,Email,4,10.95,17.22,2,1,20,0,0
High,Performance Issue,Chat,8,3.2,21.38,1,25,52,0,0
High,Payment Problem,Email,5,1.67,11.63,3,51,53,0,0
Low,Security Breach,Email,2,28.57,167.13,3,18,61,1,0
Urgent,Billing Dispute,Phone,6,0.53,6.04,4,4,69,0,0
Low,Integration Failure,Email,1,50.34,141.65,4,45,38,1,0
Low,Billing Dispute,Chat,4,50.43,295.5,3,23,64,1,0
Medium,Integration Failure,Portal,5,32.62,118.99,1,25,68,1,0
Low,Account Suspension,Email,4,71.13,260.5,1,30,50,1,0
Low,Integration Failure,Portal,2,12.57,112.99,2,46,40,0,0
Urgent,Feature Request,Email,9,1.41,11.67,2,28,54,1,1
Medium,Payment Problem,Email,2,21.79,69.91,2,38,36,1,0
Low,Performance Issue,Chat,2,58.87,277.98,1,34,39,1,0
Low,Login Issue,Chat,4,53.02,234.06,3,58,68,1,0
High,Account Suspension,Email,6,5.06,50.7,0,44,29,1,0
Urgent,Login Issue,Phone,10,0.36,2.47,1,36,51,0,0
Medium,Login Issue,Portal,5,29.01,83.97,3,33,62,1,0
Low,Data Loss,Email,2,58.23,178.76,3,67,63,1,0
Low,Payment Problem,Portal,1,54.17,157.87,5,57,32,1,0
Low,Security Breach,Chat,1,10.09,76.47,4,9,29,0,0
Low,Subscription Cancellation,Portal,4,7.74,57.6,1,2,63,0,0
Medium,Feature Request,Email,6,4.46,31.35,2,14,30,0,0
Low,Integration Failure,Phone,3,63.22,145.14,4,46,68,1,0
Medium,Billing Dispute,Email,5,24.34,106.41,1,24,53,1,0
Medium,Security Breach,Portal,2,21.21,116.61,6,41,41,1,0
Urgent,Billing Dispute,Phone,10,0.3,5.67,4,29,23,0,0
Urgent,Performance Issue,Chat,9,0.49,3.14,5,48,68,0,0
High,Performance Issue,Email,7,7.58,51.57,2,26,39,1,1
Medium,Feature Request,Phone,2,10.37,41.81,0,23,54,0,0
Medium,Integration Failure,Chat,4,34.63,77.43,2,30,30,1,0
Medium,Integration Failure,Chat,5,32.34,87.33,0,60,28,1,0
High,Account Suspension,Chat,8,7.35,28.54,2,61,66,1,1
Medium,Integration Failure,Phone,5,25.95,89.6,1,56,48,1,0
Urgent,Subscription Cancellation,Email,10,2.7,9.33,5,5,55,1,1
Urgent,Security Breach,Email,7,0.24,4.23,1,6,60,0,0
Medium,Security Breach,Portal,3,25.35,71.5,3,65,53,1,0
High,Billing Dispute,Chat,7,7.43,32.55,4,20,36,1,1
Low,Data Loss,Email,2,43.78,275.31,1,27,51,1,0
Low,Feature Request,Email,1,42.36,233.38,0,33,42,1,0
Medium,Feature Request,Portal,6,27.8,98.37,4,65,40,1,0
Low,Subscription Cancellation,Email,1,45.43,214.71,1,14,27,1,0
Urgent,Integration Failure,Chat,7,0.44,6.29,2,3,34,0,0
Low,Data Loss,Portal,2,52.22,194.18,1,15,44,1,0
Medium,Account Suspension,Email,4,21.71,82.46,5,29,24,1,0
High,Account Suspension,Phone,5,0.9,8.5,4,54,45,0,0
High,Security Breach,Chat,7,2.05,12.19,7,48,66,0,0
Medium,Subscription Cancellation,Phone,2,17.67,59.89,2,65,31,1,0
Urgent,Login Issue,Chat,10,1.29,14.19,0,18,32,1,1
High,Login Issue,Phone,8,3.42,21.84,3,10,42,0,0
Medium,Integration Failure,Email,4,28.97,107.3,3,63,21,1,0
Low,Security Breach,Email,1,11.66,70.11,2,3,42,0,0
Medium,Subscription Cancellation,Portal,6,35.66,73.01,5,10,31,1,0
Urgent,Login Issue,Email,8,0.48,4.11,1,43,59,0,0
High,Payment Problem,Phone,4,6.26,42.28,1,56,62,1,0
Urgent,Billing Dispute,Email,9,0.56,3.66,5,39,61,0,0
Medium,Performance Issue,Chat,2,10.91,24.95,4,61,26,0,0
Low,Billing Dispute,Phone,3,16.75,74.4,1,41,34,0,0
Low,Performance Issue,Email,4,59.72,273.3,2,13,48,1,0
Medium,Payment Problem,Portal,4,16.97,59.21,2,57,35,1,0
High,Payment Problem,Chat,4,0.92,13.51,2,4,32,0,0
High,Subscription Cancellation,Chat,8,2.41,10.17,0,34,50,0,0
Medium,Data Loss,Phone,4,5.37,34.28,3,18,31,0,0
Medium,Feature Request,Email,2,2.78,32.21,1,22,55,0,0
Medium,Login Issue,Email,6,10.47,32.41,1,41,23,0,0
Medium,Subscription Cancellation,Phone,2,13.77,88.6,2,22,43,1,0
Low,Data Loss,Email,4,26.98,255.24,4,41,49,1,0
Low,Feature Request,Email,2,10.19,48.02,0,10,36,0,0
Low,Subscription Cancellation,Phone,4,49.07,163.21,6,62,40,1,0
Low,Integration Failure,Phone,2,46.96,251.1,2,23,67,1,0
Low,Feature Request,Chat,4,42.81,154.14,1,3,43,1,0
Low,Billing Dispute,Chat,4,65.79,254.13,3,71,59,1,0
High,Feature Request,Phone,4,1.69,9.76,3,61,28,0,0
Medium,Billing Dispute,Chat,2,28.08,119.43,1,44,30,1,0
Urgent,Account Suspension,Chat,10,0.5,2.63,1,65,38,0,0
Low,Performance Issue,Portal,4,44.12,262.44,0,60,66,1,0
Medium,Billing Dispute,Email,5,10.8,21.64,5,25,59,0,0
Medium,Payment Problem,Chat,2,29.1,74.55,2,26,40,1,0
Low,Integration Failure,Portal,2,50.94,285.18,4,35,52,1,0
Urgent,Login Issue,Phone,9,0.33,3.99,2,28,47,0,0
Low,Account Suspension,Portal,1,7.28,65.41,3,12,68,0,0
Urgent,Account Suspension,Email,8,0.35,3.35,3,43,56,0,0
Urgent,Security Breach,Email,10,2.29,9.66,2,25,32,1,1
Medium,Subscription Cancellation,Portal,4,14.48,60.06,4,29,20,1,0
Medium,Subscription Cancellation,Chat,3,6.58,32.92,3,54,25,0,0
High,Subscription Cancellation,Phone,7,2.18,7.93,3,52,59,0,0
Medium,Feature Request,Email,4,34.13,67.97,1,1,69,1,0
High,Login Issue,Phone,8,1.91,13.34,2,40,69,0,0
Low,Performance Issue,Chat,1,20.94,44.46,4,51,65,0,0
Low,Billing Dispute,Email,3,54.45,257.72,3,25,64,1,0
Medium,Subscription Cancellation,Chat,4,5.91,44.71,1,17,63,0,0
Medium,Account Suspension,Phone,3,7.14,42.32,2,7,59,0,0
Urgent,Billing Dispute,Email,7,0.27,7.36,2,58,55,0,0
Low,Login Issue,Chat,4,20.81,78.5,3,70,66,0,0
Urgent,Account Suspension,Chat,8,2.3,10.46,1,29,24,1,1
Low,Payment Problem,Email,4,46.26,244.02,3,44,40,1,0
Medium,Login Issue,Phone,3,30.89,56.81,0,52,66,1,0
Medium,Feature Request,Email,2,6.04,29.26,0,31,52,0,0
Medium,Subscription Cancellation,Email,5,23.71,105.84,1,46,36,1,0
Low,Data Loss,Chat,3,12.4,102.68,0,52,20,0,0
Medium,Integration Failure,Phone,2,11.37,23.62,1,46,60,0,0
Urgent,Account Suspension,Portal,8,0.78,3.55,0,29,28,0,0
Medium,Security Breach,Email,4,34.38,99.13,5,69,58,1,0
Medium,Security Breach,Chat,2,5.82,18.73,4,60,37,0,0
Urgent,Integration Failure,Email,10,2.03,19.93,5,3,62,1,1
High,Performance Issue,Phone,7,1.4,12.38,1,69,51,0,0
Medium,Performance Issue,Chat,2,2.49,37.78,1,52,59,0,0
Medium,Integration Failure,Phone,3,17.64,101.56,2,37,38,1,0
Urgent,Data Loss,Email,10,0.9,4.01,3,18,68,0,0
High,Feature Request,Phone,6,2.17,13.22,5,71,34,0,0
Low,Login Issue,Chat,4,7.16,101.65,1,47,48,0,0
Medium,Data Loss,Portal,4,23.52,68.12,3,29,47,1,0
Urgent,Billing Dispute,Email,6,0.79,2.71,1,18,33,0,0
Low,Subscription Cancellation,Chat,4,49.24,156.74,3,69,53,1,0
Urgent,Performance Issue,Phone,8,2.88,16.46,5,61,54,1,1
Low,Account Suspension,Chat,4,67.37,171.89,3,61,25,1,0
High,Performance Issue,Email,7,8.0,45.46,1,5,41,1,1
Medium,Security Breach,Portal,3,15.09,79.25,6,41,42,1,0
Medium,Account Suspension,Email,3,29.26,111.14,1,25,26,1,0
Urgent,Billing Dispute,Email,9,0.47,4.93,1,65,39,0,0
Medium,Billing Dispute,Chat,6,9.47,18.76,3,41,56,0,0
Medium,Subscription Cancellation,Chat,4,20.24,108.77,0,51,49,1,0
Low,Payment Problem,Phone,4,41.48,145.89,1,49,58,1,0
Low,Security Breach,Chat,2,14.56,100.6,5,47,26,0,0
Low,Integration Failure,Chat,1,27.54,138.97,4,5,63,1,0
High,Performance Issue,Chat,7,1.31,7.26,2,24,51,0,0
Low,Subscription Cancellation,Chat,2,20.13,94.93,1,70,36,0,0
Low,Subscription Cancellation,Portal,2,70.02,226.09,5,60,38,1,0
Medium,Payment Problem,Portal,2,17.58,67.25,1,30,57,1,0
High,Billing Dispute,Chat,6,10.27,58.86,3,12,44,1,0
High,Security Breach,Email,6,1.14,17.14,1,15,44,0,0
Low,Account Suspension,Portal,4,47.95,172.08,2,14,39,1,0
Low,Security Breach,Email,1,49.59,201.89,3,8,22,1,0
Urgent,Security Breach,Email,8,0.62,7.15,5,48,28,0,0
Medium,Performance Issue,Email,6,5.65,20.75,1,13,58,0,0
Urgent,Account Suspension,Email,7,0.84,7.22,1,28,52,0,0
Urgent,Data Loss,Phone,7,0.43,3.53,0,49,37,0,0
High,Account Suspension,Chat,4,2.26,7.57,3,26,21,0,0
Low,Subscription Cancellation,Portal,4,35.24,177.1,6,56,40,1,0
Urgent,Payment Problem,Email,8,0.63,2.68,3,41,34,0,0
High,Security Breach,Chat,4,1.39,10.83,1,40,21,0,0
High,Account Suspension,Portal,8,1.52,11.44,3,23,65,0,0
Medium,Subscription Cancellation,Phone,3,23.17,80.8,2,61,45,1,0
Medium,Login Issue,Phone,5,4.9,23.22,1,15,27,0,0
Low,Billing Dispute,Email,1,28.23,251.57,0,1,28,1,0
Medium,Payment Problem,Phone,4,31.36,118.04,1,49,24,1,0
High,Feature Request,Email,7,3.26,7.94,0,66,18,0,0
Medium,Integration Failure,Chat,3,33.74,87.28,5,50,51,1,0
Medium,Subscription Cancellation,Chat,5,11.22,22.56,4,14,50,0,0
Medium,Security Breach,Chat,4,15.78,83.9,3,26,51,1,0
High,Payment Problem,Phone,5,6.49,50.07,4,3,34,1,0
Urgent,Billing Dispute,Phone,7,0.67,6.96,4,18,58,0,0
Low,Account Suspension,Email,4,66.36,280.96,2,31,53,1,0
Medium,Login Issue,Chat,4,16.9,63.76,1,34,38,1,0
Low,Feature Request,Phone,3,48.45,226.52,0,42,45,1,0
High,Billing Dispute,Email,5,3.74,11.61,6,69,33,0,0
High,Login Issue,Email,8,6.92,43.13,5,63,33,1,1
Urgent,Integration Failure,Email,7,0.57,7.18,2,32,45,0,0
Medium,Payment Problem,Chat,4,29.02,56.88,1,27,60,1,0
Urgent,Data Loss,Portal,8,0.52,5.49,2,3,61,0,0
Low,Performance Issue,Email,3,59.12,192.43,2,1,46,1,0
High,Payment Problem,Chat,8,1.24,20.74,2,68,19,0,0
Low,Feature Request,Phone,2,8.95,53.03,3,58,33,0,0
Urgent,Data Loss,Email,7,0.49,4.13,2,55,66,0,0
Medium,Data Loss,Portal,6,11.26,15.03,6,68,36,0,0
High,Integration Failure,Chat,6,1.85,13.91,4,20,58,0,0
Urgent,Performance Issue,Portal,6,2.84,15.89,5,12,44,1,1
Low,Data Loss,Email,2,66.29,164.95,3,64,56,1,0
Low,Subscription Cancellation,Email,3,60.86,238.79,2,34,19,1,0
Urgent,Billing Dispute,Email,9,0.48,6.27,2,40,35,0,0
Medium,Data Loss,Email,3,5.37,20.4,2,46,40,0,0
Low,Data Loss,Phone,1,55.57,258.89,2,30,29,1,0
Medium,Billing Dispute,Email,2,4.49,43.5,3,47,43,0,0
High,Account Suspension,Chat,5,1.88,10.67,2,46,67,0,0
Low,Integration Failure,Email,2,63.57,154.68,6,22,47,1,0
Medium,Data Loss,Phone,5,18.0,75.2,5,7,31,1,0
Low,Data Loss,Phone,4,64.16,164.04,3,36,32,1,0
Medium,Performance Issue,Chat,5,25.79,104.9,2,9,18,1,0
Urgent,Login Issue,Email,9,0.58,3.09,3,43,34,0,0
Urgent,Account Suspension,Chat,9,2.27,9.05,1,4,25,1,1
High,Security Breach,Email,5,9.2,38.22,2,38,48,1,0
Low,Account Suspension,Email,3,51.86,263.83,4,28,43,1,0
Urgent,Billing Dispute,Chat,9,2.43,16.09,5,69,68,1,1
Medium,Performance Issue,Portal,2,5.62,30.95,5,2,35,0,0
Low,Integration Failure,Portal,1,63.37,208.94,1,11,68,1,0
Urgent,Payment Problem,Chat,9,0.37,5.78,4,30,31,0,0
High,Performance Issue,Chat,8,2.94,14.88,2,44,29,0,0
High,Feature Request,Portal,4,1.96,19.29,5,15,66,0,0
High,Billing Dispute,Chat,7,9.68,55.51,3,40,66,1,1
Low,Login Issue,Chat,3,27.88,161.17,3,54,69,1,0
Low,Feature Request,Portal,2,44.2,170.97,3,1,63,1,0
High,Feature Request,Email,7,3.69,15.21,3,52,23,0,0
Low,Integration Failure,Email,4,52.52,277.45,1,28,69,1,0
Medium,Security Breach,Chat,2,24.58,114.52,2,22,68,1,0
High,Payment Problem,Email,7,1.54,9.16,3,60,66,0,0
High,Data Loss,Chat,6,2.27,11.93,3,25,38,0,0
Medium,Subscription Cancellation,Chat,6,31.97,104.52,5,9,39,1,0
High,Data Loss,Chat,8,1.82,21.77,0,8,35,0,0
Urgent,Feature Request,Portal,7,0.62,2.82,1,43,30,0,0
High,Account Suspension,Email,8,2.82,14.52,3,53,56,0,0
Low,Subscription Cancellation,Chat,3,44.68,215.28,4,22,19,1,0
Medium,Integration Failure,Email,5,19.65,53.38,4,57,41,1,0
Medium,Payment Problem,Chat,4,16.75,110.21,5,2,50,1,0
Low,Integration Failure,Phone,4,31.01,150.04,1,70,38,1,0
Medium,Billing Dispute,Chat,4,18.7,109.08,2,11,44,1,0
Low,Login Issue,Email,4,5.15,37.64,1,55,53,0,0
Medium,Feature Request,Chat,4,30.53,118.86,2,19,56,1,0
Urgent,Account Suspension,Chat,7,0.28,5.13,2,51,36,0,0
Low,Integration Failure,Email,1,67.39,182.2,4,42,34,1,0
High,Subscription Cancellation,Chat,5,8.28,46.77,2,24,61,1,0
High,Feature Request,Chat,7,2.17,11.63,3,10,37,0,0
Low,Payment Problem,Portal,4,29.35,150.1,2,45,42,1,0
Urgent,Account Suspension,Phone,9,1.35,11.62,2,18,33,1,1
High,Security Breach,Phone,4,3.37,20.32,4,25,47,0,0
Medium,Security Breach,Portal,3,28.54,69.4,2,40,51,1,0
High,Subscription Cancellation,Phone,5,5.12,40.2,2,63,56,1,0
Medium,Login Issue,Portal,3,8.53,31.54,4,63,63,0,0
High,Security Breach,Email,7,1.19,20.77,5,63,68,0,0
Low,Feature Request,Chat,2,59.81,133.82,2,64,38,1,0
Urgent,Payment Problem,Phone,6,0.91,6.99,4,9,30,0,0
Medium,Login Issue,Chat,2,9.23,37.52,3,35,18,0,0
High,Data Loss,Email,4,10.66,39.4,1,28,27,1,0
Low,Payment Problem,Email,3,54.7,298.66,3,13,28,1,0
High,Feature Request,Email,4,4.43,28.38,1,21,54,1,0
High,Feature Request,Email,4,3.16,18.71,4,56,58,0,0
Medium,Billing Dispute,Email,2,22.41,101.17,1,9,50,1,0
High,Login Issue,Chat,7,3.42,21.97,3,46,35,0,0
Medium,Payment Problem,Portal,3,7.56,40.12,3,21,67,0,0
Urgent,Login Issue,Phone,8,0.34,5.39,5,41,44,0,0
Medium,Subscription Cancellation,Phone,6,2.89,21.65,0,70,40,0,0
Urgent,Performance Issue,Portal,6,2.15,14.51,6,63,59,1,1
Urgent,Login Issue,Chat,8,0.63,2.93,3,29,55,0,0
Medium,Security Breach,Email,2,10.14,29.64,2,65,48,0,0
Low,Feature Request,Email,4,28.17,164.58,4,9,27,1,0
Medium,Billing Dispute,Portal,4,9.79,43.56,2,67,43,0,0
Urgent,Data Loss,Email,7,1.87,13.35,1,9,32,1,1
Low,Billing Dispute,Phone,1,50.49,157.11,6,24,67,1,0
Medium,Payment Problem,Chat,4,25.36,54.4,7,26,36,1,0
Urgent,Subscription Cancellation,Portal,8,1.83,12.5,2,16,59,1,1
Medium,Subscription Cancellation,Chat,5,17.44,56.69,6,71,61,1,0
High,Data Loss,Phone,6,1.04,14.37,3,17,56,0,0
Low,Login Issue,Email,4,8.53,39.67,4,34,67,0,0
Low,Login Issue,Email,3,58.97,271.99,0,19,25,1,0
High,Payment Problem,Chat,5,9.59,42.05,2,8,26,1,0
Low,Payment Problem,Portal,4,57.2,265.2,2,49,35,1,0
Medium,Account Suspension,Chat,5,33.9,77.27,2,23,62,1,0
Urgent,Login Issue,Portal,7,0.54,6.39,2,16,43,0,0
Medium,Payment Problem,Phone,6,9.23,27.05,4,58,21,0,0
Urgent,Subscription Cancellation,Phone,10,0.7,5.89,2,14,67,0,0
Urgent,Performance Issue,Chat,7,0.9,6.11,4,61,63,0,0
Medium,Feature Request,Chat,6,8.43,33.2,4,55,68,0,0
Low,Login Issue,Email,3,34.62,141.27,4,44,56,1,0
High,Account Suspension,Portal,8,10.06,38.73,7,51,31,1,1
Medium,Feature Request,Portal,3,21.36,105.0,2,25,49,1,0
Low,Security Breach,Phone,2,9.39,108.13,0,25,54,0,0
High,Performance Issue,Email,5,6.51,48.59,1,60,58,1,0
Low,Billing Dispute,Email,3,64.02,294.51,3,25,66,1,0
Urgent,Login Issue,Portal,6,0.54,3.83,1,63,45,0,0
Low,Billing Dispute,Email,1,13.24,46.64,0,52,48,0,0
Low,Account Suspension,Phone,3,4.99,61.58,6,6,49,0,0
Low,Login Issue,Chat,4,38.72,245.92,2,38,51,1,0
Urgent,Account Suspension,Chat,9,0.86,4.43,5,14,39,0,0
High,Integration Failure,Phone,6,8.19,48.55,2,6,52,1,0
Urgent,Account Suspension,Email,9,1.89,16.66,0,37,30,1,1
